Lot ID,Category,Subcategory,Estimate,Has Bid,Current Time,New Time,Status,Details,Rule ID
1817,Office & misc.,Various metalworking,2500.00,False,18:12:00,17:02,Updated,Time changed,5
1818,Office & misc.,Various metalworking,100.00,False,18:58:00,18:29,Updated,Time changed,5
1819,Top machines,Welding machines,5000.00,False,15:16:00,15:50,Updated,Time changed,2
1820,Buffer zone,Punching machines,1000.00,False,15:31:00,16:46,Updated,Time changed,6
1821,Office & misc.,Various metalworking,1000.00,False,18:43:00,18:44,Updated,Time changed,5
1822,fallback,Grinding machines,,False,14:39:00,17:02,Updated,Time changed,6
1823,Buffer zone,"Machine parts, tools & accessories",100.00,True,17:36:00,18:10,Updated,Time changed,6
1824,Buffer zone,"Machine parts, tools & accessories",500.00,False,14:23:00,15:28,Updated,Time changed,6
1825,Buffer zone,"Machine parts, tools & accessories",400.00,False,17:41:00,18:06,Updated,Time changed,6
1826,Stock & rolling,Waste containers,300.00,False,17:26:00,17:26,Updated,Time changed,4
1827,Stock & rolling,Waste containers,200.00,True,17:24:00,17:58,Updated,Time changed,4
1828,Stock & rolling,Waste containers,200.00,True,17:15:00,17:42,Updated,Time changed,4
1829,Office & misc.,Various metalworking,100.00,False,18:47:00,17:31,Updated,Time changed,5
1830,Stock & rolling,Warehouse inventory,1000.00,True,17:14:00,17:46,Updated,Time changed,4
1831,Stock & rolling,Workshop Inventory,10.00,False,17:26:00,17:19,Updated,Time changed,4
1832,fallback,Intern transport,,True,14:28:00,17:31,Updated,Time changed,6
1833,Stock & rolling,Intern transport,1000.00,True,17:18:00,17:14,Updated,Time changed,4
1834,Stock & rolling,Metal stock,1500.00,False,17:54:00,17:30,Updated,Time changed,4
1835,Stock & rolling,Warehouse inventory,10.00,False,17:05:00,17:50,Updated,Time changed,4
1836,Stock & rolling,Warehouse inventory,500.00,False,17:33:00,17:43,Updated,Time changed,4
1837,Stock & rolling,Metal stock,2500.00,False,17:37:00,17:04,Updated,Time changed,4
1838,Stock & rolling,Warehouse inventory,10.00,False,17:41:00,17:50,Updated,Time changed,4
1839,Stock & rolling,Warehouse inventory,10.00,False,17:39:00,17:19,Updated,Time changed,4
1840,Stock & rolling,Metal stock,250.00,False,17:04:00,17:47,Updated,Time changed,4
1841,Stock & rolling,Warehouse inventory,600.00,False,17:04:00,17:48,Updated,Time changed,4
1842,Stock & rolling,Warehouse inventory,10.00,False,17:20:00,17:32,Updated,Time changed,4
1843,Stock & rolling,Warehouse inventory,400.00,False,17:46:00,17:19,Updated,Time changed,4
1844,Stock & rolling,Warehouse inventory,400.00,False,17:50:00,17:07,Updated,Time changed,4
1845,Stock & rolling,Pallets,400.00,False,17:34:00,17:48,Updated,Time changed,4
1846,Other machines & welding,Processing machines,400.00,False,16:55:00,16:32,Updated,Time changed,3
1847,Other machines & welding,Processing machines,500.00,False,16:08:00,16:53,Updated,Time changed,3
1848,Buffer zone,Pressing machines,400.00,False,15:47:00,14:48,Updated,Time changed,6
1849,Stock & rolling,Pallets,400.00,False,17:49:00,17:15,Updated,Time changed,4
1850,Office & misc.,Various metalworking,800.00,False,18:44:00,18:24,Updated,Time changed,5
1851,Stock & rolling,Pallets,400.00,False,17:58:00,17:10,Updated,Time changed,4
1852,Office & misc.,Office inventory,250.00,True,17:02:00,18:36,Updated,Time changed,5
1853,Office & misc.,Office inventory,50.00,True,18:49:00,18:30,Updated,Time changed,5
1854,Office & misc.,Office inventory,50.00,True,17:08:00,17:33,Updated,Time changed,5
1855,Office & misc.,Office inventory,50.00,True,18:38:00,17:31,Updated,Time changed,5
1856,Office & misc.,Office inventory,50.00,True,17:30:00,18:23,Updated,Time changed,5
1857,Office & misc.,Office inventory,75.00,True,17:49:00,17:46,Updated,Time changed,5
1858,Office & misc.,Office inventory,200.00,True,18:40:00,17:03,Updated,Time changed,5
1859,Office & misc.,Office inventory,100.00,True,18:47:00,18:40,Updated,Time changed,5
1860,Office & misc.,Office inventory,50.00,True,17:09:00,18:18,Updated,Time changed,5
1861,Office & misc.,Office inventory,50.00,False,18:27:00,17:12,Updated,Time changed,5
1862,Office & misc.,Office inventory,50.00,True,18:06:00,17:42,Updated,Time changed,5
1863,Office & misc.,Office inventory,75.00,True,18:40:00,18:31,Updated,Time changed,5
1864,Office & misc.,Office inventory,50.00,True,17:14:00,17:37,Updated,Time changed,5
1865,Office & misc.,Office inventory,150.00,False,18:48:00,17:29,Updated,Time changed,5
1866,Office & misc.,Computer & tablets,150.00,True,17:35:00,17:50,Updated,Time changed,5
1867,Office & misc.,Office inventory,150.00,False,18:19:00,17:21,Updated,Time changed,5
1868,Office & misc.,Computer & tablets,150.00,True,18:31:00,18:11,Updated,Time changed,5
1869,Office & misc.,Computer & tablets,150.00,False,18:25:00,18:43,Updated,Time changed,5
1870,Office & misc.,Computer & tablets,150.00,True,17:09:00,17:32,Updated,Time changed,5
1871,Office & misc.,Office inventory,150.00,False,17:32:00,17:47,Updated,Time changed,5
1872,Office & misc.,Computer & tablets,150.00,True,18:21:00,18:18,Updated,Time changed,5
1873,Office & misc.,Office inventory,50.00,True,18:12:00,17:14,Updated,Time changed,5
1874,Office & misc.,Office inventory,150.00,False,18:49:00,17:44,Updated,Time changed,5
1875,Office & misc.,Computer & tablets,150.00,True,18:38:00,18:33,Updated,Time changed,5
1876,Office & misc.,Office inventory,150.00,False,17:14:00,18:18,Updated,Time changed,5
1877,Office & misc.,Computer & tablets,150.00,True,17:29:00,17:41,Updated,Time changed,5
1878,Office & misc.,Office inventory,150.00,False,17:43:00,18:31,Updated,Time changed,5
1879,Office & misc.,Computer & tablets,150.00,True,18:17:00,18:01,Updated,Time changed,5
1880,Office & misc.,Office inventory,150.00,False,17:54:00,18:22,Updated,Time changed,5
1881,Office & misc.,Computer & tablets,150.00,True,18:53:00,18:32,Updated,Time changed,5
1882,Office & misc.,Office inventory,50.00,True,17:03:00,17:42,Updated,Time changed,5
1883,Office & misc.,Office inventory,150.00,False,17:20:00,18:32,Updated,Time changed,5
1884,Office & misc.,Computer & tablets,150.00,True,18:53:00,18:13,Updated,Time changed,5
1885,Office & misc.,Office inventory,100.00,True,18:31:00,18:45,Updated,Time changed,5
1886,Office & misc.,Office inventory,50.00,True,17:15:00,18:21,Updated,Time changed,5
1887,Office & misc.,Office inventory,50.00,False,18:58:00,17:23,Updated,Time changed,5
1888,Office & misc.,Office inventory,50.00,True,17:33:00,18:11,Updated,Time changed,5
1889,Office & misc.,Office inventory,50.00,True,18:07:00,17:10,Updated,Time changed,5
1890,Office & misc.,Office inventory,50.00,True,17:03:00,17:32,Updated,Time changed,5
1891,Office & misc.,Office inventory,50.00,True,18:16:00,18:12,Updated,Time changed,5
1892,Office & misc.,Office inventory,50.00,True,17:32:00,17:25,Updated,Time changed,5
1893,Office & misc.,Office inventory,50.00,True,18:49:00,17:16,Updated,Time changed,5
1894,Office & misc.,Office inventory,50.00,True,17:28:00,18:13,Updated,Time changed,5
1895,Office & misc.,"Printers, scanners and Copiers",100.00,False,18:51:00,18:01,Updated,Time changed,5
1896,Office & misc.,"Printers, scanners and Copiers",900.00,False,17:48:00,18:02,Updated,Time changed,5
1897,Office & misc.,Office inventory,20.00,False,18:03:00,18:12,Updated,Time changed,5
1898,Office & misc.,Office inventory,150.00,True,17:51:00,17:58,Updated,Time changed,5
1899,Office & misc.,"Printers, scanners and Copiers",150.00,False,17:03:00,17:08,Updated,Time changed,5
1900,Office & misc.,Computer & tablets,150.00,True,17:50:00,17:20,Updated,Time changed,5
